기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2020/05/13,66.07,66.07,66.07,61.23,66.01,65.66,66.07,67.19,84.48,84.48,84.48,80.41,61.88,77.28,81.47,83.97,83.97,83.97,83.97,84.48,84.48,82.49,84.48,83.87,84.48,61.23,76.95
2020/05/12,77.35,66.15,66.03,65.98,66.03,66.03,74.15,78.09,82.56,82.56,82.56,82.55,66.03,79.31,83.11,82.83,83.57,83.8,83.49,83.52,83.01,82.4,79.82,80.61,83.8,65.98,77.97
2020/05/11,74.16,66.73,59.38,59.38,61.99,62.65,77.86,83.13,84.06,84.06,84.06,84.48,80.65,83.55,83.97,83.97,87.99,87.99,87.99,89.92,86.13,86.13,83.8,83.33,89.92,59.38,80.44
2020/05/10,59.27,59.08,56.15,54.69,54.69,56.15,57.55,56.85,56.5,55.8,56.85,56.15,55.8,56.15,56.91,62.49,62.49,62.49,80.02,87.3,86.89,80.02,76.77,72.56,87.3,54.69,64.09
2020/05/09,81.7,80.53,73.21,73.21,73.22,73.22,73.22,73.2,66.8,61.13,61.78,61.78,56.95,60.48,65.36,67.16,66.8,66.8,75.35,81.94,81.94,80.19,80.19,81.94,81.94,56.95,71.89
2020/05/08,78.92,73.58,65.96,65.96,65.96,73.87,78.46,82.98,85.06,84.03,82.63,85.04,60.53,77.9,79.25,80.15,82.95,83.62,83.62,83.65,83.65,83.56,83.39,84.02,85.06,60.53,79.01
2020/05/07,77.94,65.97,65.97,65.95,65.97,82.93,81.19,78.46,84.8,84.8,82.2,81.89,61.39,73.97,78.83,78.94,81.41,83.49,83.49,83.53,83.59,82.95,80.68,80.73,84.8,61.39,78.25
2020/05/06,63.75,57.26,57,55.53,66.52,63.59,67.62,66.64,75.61,75.61,75.61,75.54,58.69,66.27,77.46,77.49,81.53,83.51,83.63,83.65,83.51,82.69,77.99,80.59,83.65,55.53,73.09
2020/05/05,64.58,63.28,60.69,56.8,60.69,62.64,61.99,64.58,62.64,62.64,62.64,64.58,56.62,64.58,61.34,62.64,64.58,80.54,80.54,80.59,80.64,80.54,74.25,64.09,80.64,56.62,66.94
2020/05/04,67.27,57.31,57.11,57.11,57.11,68.25,67.3,67.3,75.28,75.28,75.28,75.24,61.9,74.33,74.43,74.43,78.77,78.77,80.01,84.44,80.01,78.44,77.16,77.16,84.44,57.11,72.19
